expt_id,gDNA_well_id,Location_Code,Date,Sex,mosquito_id,notes,FreezerBox,Tube.Info,collected_outside
17,A01,PTA666,1/15/2014,M,IQT00001,,,,no
17,A02,PTA971A,6/20/2014,M,IQT00002,,,,no
17,A03,PTA971A,6/20/2014,M,IQT00003,,,,no
17,A04,PTA766,1/31/2014,M,IQT00004,,,,no
18,A01,PTA823A,2/18/2014,M,IQT00005,,,,no
18,A02,PTA823A,2/18/2014,M,IQT00006,,,,no
18,A03,PTA829A,2/1/2014,M,IQT00007,,,,no
18,A04,PTA867B,2/1/2014,M,IQT00008,,,,no
19,E01,PTA678,1/15/2014,M,IQT00009,,,,no
19,E02,PTA678,1/15/2014,M,IQT00010,,,,no
19,G01,PTA678,1/15/2014,M,IQT00011,,,,no
19,H01,PTB837,1/23/2014,M,IQT00012,,,,no
19,E02,PTA678,1/15/2014,M,IQT00013,,,,no
19,F02,PTA678,1/15/2014,M,IQT00014,,,,no
19,G02,PTB738B,1/22/2014,M,IQT00015,,,,no
19,H02,PTA278B,3/11/2014,M,IQT00016,,,,no
19,A03,PTA841,2/1/2014,M,IQT00017,,,,no
19,B03,PTB818A,2/1/2014,M,IQT00018,,,,no
19,C03,PTB105,2/10/2014,M,IQT00019,,,,no
19,D03,PTA261B,2/3/2014,M,IQT00020,,,,no
19,E03,PTA689,4/16/2014,M,IQT00021,,,,no
19,F03,PTB822B,4/29/2014,M,IQT00022,,,,no
19,G03,MY368A,4/1/2014,M,IQT00023,,,,no
19,H03,PTA010,4/15/2014,M,IQT00024,,,,no
19,A04,PTA841,2/1/2014,M,IQT00025,,,,no
19,B04,PTA816,2/1/2014,M,IQT00026,,,,no
19,C04,PTB884,2/7/2014,M,IQT00027,,,,no
19,D04,PTE019,2/1/2014,M,IQT00028,,,,no
19,E04,SA260,4/8/2014,M,IQT00029,,,,no
19,F04,PTB822B,4/29/2014,M,IQT00030,,,,no
19,G04,MY368A,4/1/2014,M,IQT00031,,,,no
19,H04,PTA010,4/15/2014,M,IQT00032,,,,no
19,A05,PTB391,6/30/2014,M,IQT00033,,,,no
19,B05,PTA887,6/13/2014,M,IQT00034,,,,no
19,C05,PTA760,6/13/2014,M,IQT00035,,,,no
19,D05,PTA627,6/26/2014,M,IQT00036,,,,no
19,A06,PTB391,6/30/2014,M,IQT00037,,,,no
19,B06,PTA887,6/13/2014,M,IQT00038,,,,no
19,C06,PTB707A,6/25/2014,M,IQT00039,,,,no
19,D06,PTB673,6/4/2014,M,IQT00040,,,,no
55,A01,PTA825A,1/29/2014,M,IQT00041,,,,no
55,B01,PTE119,1/27/2014,M,IQT00042,,,,no
55,C01,PTB649,1/4/2014,M,IQT00043,,,,no
55,D01,PTA282,1/30/2014,M,IQT00044,,,,no
55,E01,PTA936,1/14/2014,M,IQT00045,,,,no
55,F01,PTB111,1/9/2014,M,IQT00046,,,,no
55,G01,PTB122,2/1/2014,M,IQT00047,,,,no
55,H01,PTB807B,2/13/2014,M,IQT00048,,,,no
55,A02,PTA750,1/29/2014,M,IQT00049,,,,no
55,B02,PTE119,1/27/2014,M,IQT00050,,,,no
55,C02,PTA993,1/15/2014,M,IQT00051,,,,no
55,D02,PTA455,1/16/2014,M,IQT00052,,,,no
55,E02,PTB401,1/7/2014,M,IQT00053,,,,no
55,F02,PTA815B,1/10/2014,M,IQT00054,,,,no
55,G02,PTB114,2/26/2014,M,IQT00055,,,,no
55,H02,PTA632,2/7/2014,M,IQT00056,,,,no
55,A03,PTB272,2/16/2014,M,IQT00057,,,,no
55,B03,PTA195,2/3/2014,M,IQT00058,,,,no
55,C03,PTA046,2/6/2014,M,IQT00059,,,,no
55,D03,TA416,2/28/2014,M,IQT00060,,,,no
55,E03,PTA356A,4/24/2014,M,IQT00061,,,,no
55,F03,PTB939,4/23/2014,M,IQT00062,,,,no
55,G03,PTA050,4/29/2014,M,IQT00063,,,,no
55,H03,PTD404,4/16/2014,M,IQT00064,,,,no
55,A04,PTE127,2/19/2014,M,IQT00065,,,,no
55,B04,PTB116,2/25/2014,M,IQT00066,,,,no
55,C04,PTG207,2/28/2014,M,IQT00067,,,,no
55,D04,PTA808F,2/1/2014,M,IQT00068,,,,no
55,E04,PTA942,4/25/2014,M,IQT00069,,,,no
55,F04,PTA596,4/24/2014,M,IQT00070,location code is correct,,,no
55,G04,SAA790,4/1/2014,M,IQT00071,,,,no
55,H04,PTE180,4/15/2014,M,IQT00072,,,,no
55,A05,SA145A,4/16/2014,M,IQT00073,,,,no
55,B05,SA345,4/4/2014,M,IQT00074,,,,no
55,C05,PTA290B,4/24/2014,M,IQT00075,,,,no
55,D05,PTB673,5/22/2014,M,IQT00076,,,,no
55,E05,PTE047,5/6/2014,M,IQT00077,,,,no
55,F05,PTE043D,5/6/2014,M,IQT00078,,,,no
55,G05,PTD412,5/22/2014,M,IQT00079,,,,no
55,H05,PTE146,5/28/2014,M,IQT00080,,,,no
55,A06,PTA505,4/24/2014,M,IQT00081,,,,no
55,B06,PTB697,4/14/2014,M,IQT00082,,,,no
55,C06,PTB826,4/22/2014,M,IQT00083,,,,no
55,D06,PTB664,5/14/2014,M,IQT00084,location code is correct,,,no
55,E06,PTA488,5/22/2014,M,IQT00085,,,,no
55,F06,PTA148,5/22/2014,M,IQT00086,,,,no
55,G06,PTD451,5/13/2014,M,IQT00087,,,,no
55,H06,PTA999A,5/15/2014,M,IQT00088,,,,no
55,A07,PTA971B,6/27/2014,M,IQT00089,,,,no
55,B07,PTA037,6/17/2014,M,IQT00090,,,,no
55,C07,PTA208,6/12/2014,M,IQT00091,,,,no
55,D07,PTA939B,6/30/2014,M,IQT00092,,,,no
55,E07,PTA191,6/12/2014,M,IQT00093,,,,no
55,F07,PTA220,6/12/2014,M,IQT00094,,,,no
55,G07,PTA548,7/24/2014,M,IQT00095,,,,no
55,H07,PTD412,7/24/2014,M,IQT00096,,,,no
55,A08,PTA340E,6/16/2014,M,IQT00097,,,,no
55,B08,PTA538,6/18/2014,M,IQT00098,,,,no
55,C08,PTA560C,6/26/2014,M,IQT00099,,,,no
55,D08,PTB750,6/5/2014,M,IQT00100,,,,no
55,E08,PTA402,6/19/2014,M,IQT00101,,,,no
55,F08,PTA077B,6/17/2014,M,IQT00102,,,,no
55,G08,PTA208,7/23/2014,M,IQT00103,,,,no
55,H08,PTB706,7/21/2014,M,IQT00104,,,,no
55,A09,PTA711,7/23/2014,M,IQT00105,,,,no
55,B09,PTB378,7/23/2014,M,IQT00106,,,,no
55,C09,PTG215,7/22/2014,M,IQT00107,,,,no
55,D09,PTB042,7/21/2014,M,IQT00108,,,,no
55,E09,PTG210,8/11/2014,M,IQT00109,,,,no
55,F09,PTB823,8/18/2014,M,IQT00110,,,,no
55,G09,PTB115,8/11/2014,M,IQT00111,,,,no
55,H09,PTB917,8/6/2014,M,IQT00112,location code is correct,,,no
55,A10,PTA081,7/23/2014,M,IQT00113,,,,no
55,B10,PTA483,7/22/2014,M,IQT00114,,,,no
55,C10,PTA001A,7/22/2014,M,IQT00115,,,,no
55,D10,PTA467,7/2/2014,M,IQT00116,,,,no
