location_code,project_code
BG001,other
BG002,other
BG003,other
BG004,other
BG005,other
BG005-006,other
BG006,other
BG007,other
BG008,other
BG009,other
BG010,other
BG011,other
BG012,other
BG013,other
BG014,other
BG015,other
BG016,other
BG017,other
BG018,other
BG019,other
BG020,other
BG021,other
BG022,other
BG023,other
BG024,other
BG025,other
BG026,other
BG027,other
BG028,other
BG029,other
BG030,other
BG031,other
BG032,other
BG033,other
BG034,other
BG035,other
BG036,other
BG037,other
BG038,other
BG039,other
BG040,other
BG041,other
BG042,other
BG043,other
BG045,other
BG046,other
BG047,other
BG048,other
BG049,other
BG050,other
BG051,other
BG052,other
BG053,other
BG054,other
BG055,other
BG056,other
BG057,other
BG058,other
BG059-060,other
BG061,other
BG062,other
BG063,other
BG064,other
BG065,other
BG066,other
BG067,other
BG068,other
BG069,other
BG070,other
BG071,other
BG072,other
BG073,other
BG074,other
BG075,other
BG076,other
BG077,other
BG078-079,other
BG081,other
BG082,other
BG083,other
BG084,other
BG085,other
BG086,other
BG087,other
BG088,other
BG089,other
BG090,other
BG091,other
BG092,other
BG093,other
BG094,other
BG095,other
BG096,other
BG097,other
BG097B,other
BG097C,other
BG097D,other
BG098,other
BG099,other
BG100,other
BG101,other
BG102,other
BG103,other
BG104,other
BG104B,other
BG105,other
BG106,other
BG107,other
BG108,other
BG109,other
BG110,other
BG111,other
BG112,other
BG112A,other
BG112B,other
BG113,other
BG114,other
BG114A,other
BG114B,other
BG115,other
BG116,other
BG118,other
BG119,other
BG120,other
BG121,other
BG122,other
BG123,other
BG124,other
BG125,other
BG126,other
BG127,other
BG128,other
BG129,other
BG130,other
BG131,other
BG132,other
BG133,other
BG134,other
BG135,other
BG136,other
BG137,other
BG138,other
BG139,other
BG140,other
BG141,other
BG142,other
BG143,other
BG144,other
BG145,other
BG146,other
BG147,other
BG148,other
BG149,other
BG150,other
BG151,other
BG152,other
BG153,other
BG154,other
BG155,other
BG157,other
BG158,other
BG159,other
BG160,other
BG161,other
BG162,other
BG163,other
BG164,other
BG165,other
BG166,other
BG167,other
BG168,other
BG169,other
BG170,other
BG171,other
BG171B,other
BG172,other
BG173,other
BG174,other
BG176,other
BG177,other
BG178,other
BG179,other
BG180,other
BG181,other
BG182,other
BG183,other
BG184,other
