year,zone,month,RR,SR,SS,n,freqR,CI_95
2013,treatment,1,0,0,0,0,NA,NA
2013,treatment,2,0,0,0,0,NA,NA
2013,treatment,3,0,0,0,0,NA,NA
2013,treatment,4,11,18,10,39,0.512820512820513,0.110926666310712
2013,treatment,5,1,5,1,7,0.5,0.261916017074176
2013,treatment,6,7,2,3,12,0.666666666666667,0.188601087935278
2013,treatment,7,21,17,6,44,0.670454545454545,0.098210306836378
2013,treatment,8,11,8,1,20,0.75,0.134192026588766
2013,treatment,9,0,0,0,0,NA,NA
2013,treatment,10,0,0,0,0,NA,NA
2014,treatment,1,99,57,8,164,0.777439024390244,0.045017028657549
2014,treatment,2,96,45,14,155,0.764516129032258,0.047233391861091
2014,treatment,3,1,3,0,4,0.625,0.335480066471914
2014,treatment,4,60,30,4,94,0.797872340425532,0.057405925797716
2014,treatment,5,40,11,1,52,0.875,0.063562128903689
2014,treatment,6,66,28,7,101,0.792079207920792,0.055964632173492
2014,treatment,7,138,54,6,198,0.833333333333333,0.036706436956332
2014,treatment,8,101,71,7,179,0.762569832402235,0.044078044373197
2014,treatment,9,0,0,0,0,NA,NA
2014,treatment,10,114,88,9,211,0.748815165876777,0.041379369485439
2013,buffer,1,0,0,0,0,NA,NA
2013,buffer,2,0,0,0,0,NA,NA
2013,buffer,3,0,1,0,1,0.5,0.692964645562817
2013,buffer,4,7,14,3,24,0.583333333333333,0.139472385425561
2013,buffer,5,12,17,6,35,0.585714285714286,0.115398440197431
2013,buffer,6,34,56,17,107,0.579439252336449,0.066140505318527
2013,buffer,7,17,31,15,63,0.515873015873016,0.08726133431476
2013,buffer,8,9,3,11,23,0.456521739130435,0.143945792651811
2013,buffer,9,0,0,1,1,0,0
2013,buffer,10,0,0,0,0,NA,NA
2014,buffer,1,96,63,10,169,0.754437869822485,0.045887051986675
2014,buffer,2,94,49,13,156,0.759615384615385,0.047416444449346
2014,buffer,3,0,0,0,0,NA,NA
2014,buffer,4,40,26,2,68,0.779411764705882,0.069688524403546
2014,buffer,5,57,38,13,108,0.703703703703704,0.060895783922348
2014,buffer,6,98,68,7,173,0.763005780346821,0.044807510248357
2014,buffer,7,40,42,7,89,0.685393258426966,0.06821815928074
2014,buffer,8,30,36,8,74,0.648648648648649,0.076913183334942
2014,buffer,9,0,0,0,0,NA,NA
2014,buffer,10,56,57,10,123,0.686991869918699,0.057948490244182
