"MonthYear","RR","SR","SS","n","freqR","CI_95"
"1-2000",0,0,1,1,0,0
"2-2000",0,0,0,0,NA,NA
"3-2000",0,0,0,0,NA,NA
"4-2000",0,0,8,8,0,0
"5-2000",0,0,0,0,NA,NA
"6-2000",0,0,0,0,NA,NA
"7-2000",0,0,0,0,NA,NA
"8-2000",0,0,0,0,NA,NA
"9-2000",0,1,482,483,0.0010351966873706,0.00202793503577692
"10-2000",0,0,105,105,0,0
"11-2000",0,0,58,58,0,0
"12-2000",4,10,402,416,0.0216346153846154,0.00988597566126477
"1-2001",0,2,310,312,0.00320512820512821,0.00443495662838876
"2-2001",0,0,277,277,0,0
"3-2001",0,1,96,97,0.00515463917525773,0.0100770202425342
"4-2001",0,0,0,0,NA,NA
"5-2001",0,0,1,1,0,0
"6-2001",1,9,26,36,0.152777777777778,0.0831033606589533
"7-2001",0,0,0,0,NA,NA
"8-2001",0,0,0,0,NA,NA
"9-2001",0,0,8,8,0,0
"10-2001",0,0,4,4,0,0
"11-2001",0,0,1,1,0,0
"12-2001",0,0,0,0,NA,NA
"1-2002",0,3,16,19,0.0789473684210526,0.0857383903789844
"2-2002",0,0,0,0,NA,NA
"3-2002",0,0,0,0,NA,NA
"4-2002",0,0,1,1,0,0
"5-2002",0,1,1,2,0.25,0.424352447854375
"6-2002",0,0,1,1,0,0
"7-2002",0,0,3,3,0,0
"8-2002",0,0,2,2,0,0
"9-2002",0,0,5,5,0,0
"10-2002",1,1,8,10,0.15,0.156493450342179
"11-2002",0,1,25,26,0.0192307692307692,0.037328122265657
"12-2002",0,1,0,1,0.5,0.692964645562817
"1-2003",2,0,5,7,0.285714285714286,0.236643191323985
"2-2003",8,18,20,46,0.369565217391304,0.0986342588629907
"3-2003",18,14,32,64,0.390625,0.0845227114160282
"4-2003",6,7,1,14,0.678571428571429,0.172988438920062
"5-2003",0,1,1,2,0.25,0.424352447854375
"6-2003",0,3,0,3,0.5,0.400083324654586
"7-2003",4,9,4,17,0.5,0.168068613439659
"8-2003",17,14,6,37,0.648648648648649,0.108771666997564
"9-2003",4,2,2,8,0.625,0.237220229955204
"10-2003",14,9,3,26,0.711538461538462,0.123139545828818
"11-2003",9,12,14,35,0.428571428571429,0.115931013969516
"12-2003",4,9,25,38,0.223684210526316,0.0936884705993972
"1-2004",36,10,2,48,0.854166666666667,0.0706025140375747
"2-2004",36,7,1,44,0.897727272727273,0.0633092055184783
"3-2004",3,2,3,8,0.5,0.245
"4-2004",5,0,0,5,1,0
"5-2004",30,10,3,43,0.813953488372093,0.0822464962528736
"6-2004",24,8,6,38,0.736842105263158,0.0990021655303837
"7-2004",10,2,1,13,0.846153846153846,0.138687521044253
"8-2004",0,0,0,0,NA,NA
"9-2004",1,0,0,1,1,0
"10-2004",4,0,0,4,1,0
"11-2004",0,0,0,0,NA,NA
"12-2004",0,0,0,0,NA,NA
"1-2005",4,0,0,4,1,0
"2-2005",1,0,0,1,1,0
"3-2005",1,0,0,1,1,0
"4-2005",125,11,4,140,0.932142857142857,0.0294588696320819
"5-2005",9,0,0,9,1,0
"6-2005",20,0,0,20,1,0
"7-2005",12,0,0,12,1,0
"8-2005",2,0,0,2,1,0
"9-2005",29,2,0,31,0.967741935483871,0.0439803985011256
"10-2005",19,0,0,19,1,0
"11-2005",15,1,0,16,0.96875,0.0602853727854029
"12-2005",10,4,0,14,0.857142857142857,0.129614813968157
"1-2006",68,7,0,75,0.953333333333333,0.0337548530392846
"2-2006",12,0,0,12,1,0
"3-2006",16,0,0,16,1,0
"4-2006",23,3,0,26,0.942307692307692,0.0633737962559364
"5-2006",13,0,0,13,1,0
"6-2006",13,0,0,13,1,0
"7-2006",1,0,0,1,1,0
"8-2006",17,1,0,18,0.972222222222222,0.053682946179978
"9-2006",8,0,0,8,1,0
"10-2006",5,1,0,6,0.916666666666667,0.156379760933535
"11-2006",573,2,0,575,0.998260869565217,0.00240821497527536
"12-2006",20,10,4,34,0.735294117647059,0.104860990824532
"1-2007",23,8,1,32,0.84375,0.0889575862332016
"2-2007",4,0,0,4,1,0
"3-2007",7,1,0,8,0.9375,0.118610114977602
"4-2007",19,0,0,19,1,0
"5-2007",1,0,0,1,1,0
"6-2007",12,0,0,12,1,0
"7-2007",38,0,0,38,1,0
"8-2007",8,1,1,10,0.85,0.156493450342179
"9-2007",0,0,6,6,0,0
"10-2007",4,0,0,4,1,0
"11-2007",10,0,0,10,1,0
"12-2007",8,1,0,9,0.944444444444444,0.105820978832378
"1-2008",32,5,4,41,0.841463414634146,0.0790553952440081
"2-2008",60,7,7,74,0.858108108108108,0.0562179501544694
"3-2008",20,3,1,24,0.895833333333333,0.0864198374806687
"4-2008",6,2,0,8,0.875,0.162052267802706
"5-2008",6,0,0,6,1,0
"6-2008",10,11,7,28,0.553571428571429,0.130204166599998
"7-2008",15,1,0,16,0.96875,0.0602853727854029
"8-2008",29,1,3,33,0.893939393939394,0.0742874060243411
"9-2008",9,0,1,10,0.9,0.131480797076988
"10-2008",20,0,0,20,1,0
"11-2008",9,0,0,9,1,0
"12-2008",59,0,0,59,1,0
"1-2009",20,1,3,24,0.854166666666667,0.0998470328895749
"2-2009",13,4,0,17,0.882352941176471,0.108299965634726
"3-2009",17,0,0,17,1,0
"4-2009",0,0,0,0,NA,NA
"5-2009",3,0,1,4,0.75,0.300062493490939
"6-2009",30,3,0,33,0.954545454545455,0.0502540503019464
"7-2009",76,0,0,76,1,0
"8-2009",77,0,1,78,0.987179487179487,0.0176540573091964
"9-2009",17,0,0,17,1,0
"10-2009",67,1,1,69,0.978260869565217,0.0243312798219894
"11-2009",32,1,0,33,0.984848484848485,0.0294711339502967
"12-2009",86,0,0,86,1,0
"1-2010",41,0,0,41,1,0
"2-2010",1,0,0,1,1,0
"3-2010",20,1,0,21,0.976190476190476,0.0461077642694365
"4-2010",16,0,0,16,1,0
"5-2010",2,0,0,2,1,0
"6-2010",12,0,0,12,1,0
"7-2010",5,0,0,5,1,0
"8-2010",0,0,0,0,NA,NA
"9-2010",107,0,0,107,1,0
"10-2010",216,0,0,216,1,0
"11-2010",19,0,0,19,1,0
"12-2010",2,0,0,2,1,0
"1-2011",0,0,0,0,NA,NA
"2-2011",24,0,0,24,1,0
"3-2011",0,0,0,0,NA,NA
"4-2011",28,0,0,28,1,0
"5-2011",176,0,0,176,1,0
"6-2011",64,0,0,64,1,0
"7-2011",44,0,0,44,1,0
