"MonthYear","RR","SR","SS","n","freqR","CI_95"
"Jan-00",0,0,1,1,0,0
"Feb-00",0,0,0,0,NA,NA
"Mar-00",0,0,0,0,NA,NA
"Apr-00",0,0,8,8,0,0
"May-00",0,0,0,0,NA,NA
"Jul-00",0,0,0,0,NA,NA
"Jun-00",0,0,0,0,NA,NA
"Aug-00",0,0,0,0,NA,NA
"Sep-00",0,0,636,636,0,0
"Oct-00",0,0,154,154,0,0
"Nov-00",0,0,93,93,0,0
"Dec-00",0,0,433,433,0,0
"Jan-01",0,0,427,427,0,0
"Feb-01",0,0,393,393,0,0
"Mar-01",0,0,97,97,0,0
"Apr-01",0,0,0,0,NA,NA
"May-01",0,0,1,1,0,0
"Jul-01",0,0,38,38,0,0
"Jun-01",0,0,0,0,NA,NA
"Aug-01",0,0,0,0,NA,NA
"Sep-01",0,0,8,8,0,0
"Oct-01",0,0,4,4,0,0
"Nov-01",0,0,1,1,0,0
"Dec-01",0,0,0,0,NA,NA
"Jan-02",0,0,19,19,0,0
"Feb-02",0,0,0,0,NA,NA
"Mar-02",0,0,0,0,NA,NA
"Apr-02",0,0,1,1,0,0
"May-02",0,0,2,2,0,0
"Jul-02",0,0,1,1,0,0
"Jun-02",0,0,3,3,0,0
"Aug-02",0,0,2,2,0,0
"Sep-02",0,0,6,6,0,0
"Oct-02",0,0,10,10,0,0
"Nov-02",0,0,26,26,0,0
"Dec-02",0,0,1,1,0,0
"Jan-03",0,0,7,7,0,0
"Feb-03",0,0,50,50,0,0
"Mar-03",0,0,65,65,0,0
"Apr-03",0,0,15,15,0,0
"May-03",0,0,2,2,0,0
"Jul-03",0,0,3,3,0,0
"Jun-03",0,0,17,17,0,0
"Aug-03",0,0,46,46,0,0
"Sep-03",0,0,8,8,0,0
"Oct-03",0,0,29,29,0,0
"Nov-03",0,0,38,38,0,0
"Dec-03",0,0,53,53,0,0
"Jan-04",0,0,50,50,0,0
"Feb-04",0,0,45,45,0,0
"Mar-04",0,0,8,8,0,0
"Apr-04",0,0,5,5,0,0
"May-04",0,0,43,43,0,0
"Jul-04",0,0,38,38,0,0
"Jun-04",0,0,15,15,0,0
"Aug-04",0,0,0,0,NA,NA
"Sep-04",0,0,2,2,0,0
"Oct-04",0,0,4,4,0,0
"Nov-04",0,0,0,0,NA,NA
"Dec-04",0,0,0,0,NA,NA
"Jan-05",0,0,5,5,0,0
"Feb-05",0,0,2,2,0,0
"Mar-05",0,0,1,1,0,0
"Apr-05",0,0,150,150,0,0
"May-05",0,0,10,10,0,0
"Jul-05",0,0,24,24,0,0
"Jun-05",0,0,13,13,0,0
"Aug-05",0,0,2,2,0,0
"Sep-05",0,0,32,32,0,0
"Oct-05",0,0,20,20,0,0
"Nov-05",0,0,16,16,0,0
"Dec-05",0,0,13,13,0,0
"Jan-06",0,0,76,76,0,0
"Feb-06",0,0,12,12,0,0
"Mar-06",0,0,16,16,0,0
"Apr-06",0,0,26,26,0,0
"May-06",0,0,13,13,0,0
"Jul-06",0,0,13,13,0,0
"Jun-06",0,0,1,1,0,0
"Aug-06",0,0,18,18,0,0
"Sep-06",0,0,8,8,0,0
"Oct-06",0,0,6,6,0,0
"Nov-06",0,0,577,577,0,0
"Dec-06",0,0,34,34,0,0
"Jan-07",0,0,33,33,0,0
"Feb-07",0,0,4,4,0,0
"Mar-07",0,0,7,7,0,0
"Apr-07",0,0,19,19,0,0
"May-07",0,0,1,1,0,0
"Jul-07",0,0,11,11,0,0
"Jun-07",0,0,38,38,0,0
"Aug-07",0,0,10,10,0,0
"Sep-07",0,0,6,6,0,0
"Oct-07",0,0,5,5,0,0
"Nov-07",0,0,10,10,0,0
"Dec-07",0,0,9,9,0,0
"Jan-08",0,0,38,38,0,0
"Feb-08",0,0,67,67,0,0
"Mar-08",0,0,23,23,0,0
"Apr-08",0,0,8,8,0,0
"May-08",0,0,6,6,0,0
"Jul-08",0,0,29,29,0,0
"Jun-08",0,0,16,16,0,0
"Aug-08",0,0,31,31,0,0
"Sep-08",0,0,10,10,0,0
"Oct-08",0,0,20,20,0,0
"Nov-08",0,0,9,9,0,0
"Dec-08",0,0,55,55,0,0
"Jan-09",0,0,0,0,NA,NA
"Feb-09",0,0,0,0,NA,NA
"Mar-09",0,0,3,3,0,0
"Apr-09",0,0,0,0,NA,NA
"May-09",0,0,0,0,NA,NA
"Jul-09",0,0,0,0,NA,NA
"Jun-09",0,0,35,35,0,0
"Aug-09",0,0,66,66,0,0
"Sep-09",0,0,12,12,0,0
"Oct-09",0,0,31,31,0,0
"Nov-09",0,0,13,13,0,0
"Dec-09",0,0,42,42,0,0
"Jan-10",0,0,40,40,0,0
"Feb-10",0,0,0,0,NA,NA
"Mar-10",0,0,17,17,0,0
