MonthYear,RR,SR,SS,n,freqR,CI_95
Jan-00,0,0,1,1,0,0
Feb-00,0,0,0,0,NA,NA
Mar-00,0,0,0,0,NA,NA
Apr-00,0,0,8,8,0,0
May-00,0,0,0,0,NA,NA
Jun-00,0,0,0,0,NA,NA
Jul-00,0,0,0,0,NA,NA
Aug-00,0,0,0,0,NA,NA
Sep-00,0,1,482,483,0.001035197,0.002027935
Oct-00,0,0,105,105,0,0
Nov-00,0,0,58,58,0,0
Dec-00,4,10,402,416,0.021634615,0.009885976
Jan-01,0,2,310,312,0.003205128,0.004434957
Feb-01,0,0,277,277,0,0
Mar-01,0,1,96,97,0.005154639,0.01007702
Apr-01,0,0,0,0,NA,NA
May-01,0,0,1,1,0,0
Jun-01,1,9,26,36,0.152777778,0.083103361
Jul-01,0,0,0,0,NA,NA
Aug-01,0,0,0,0,NA,NA
Sep-01,0,0,8,8,0,0
Oct-01,0,0,4,4,0,0
Nov-01,0,0,1,1,0,0
Dec-01,0,0,0,0,NA,NA
Jan-02,0,3,16,19,0.078947368,0.08573839
Feb-02,0,0,0,0,NA,NA
Mar-02,0,0,0,0,NA,NA
Apr-02,0,0,1,1,0,0
May-02,0,1,1,2,0.25,0.424352448
Jun-02,0,0,1,1,0,0
Jul-02,0,0,3,3,0,0
Aug-02,0,0,2,2,0,0
Sep-02,0,0,5,5,0,0
Oct-02,1,1,8,10,0.15,0.15649345
Nov-02,0,1,25,26,0.019230769,0.037328122
Dec-02,0,1,0,1,0.5,0.692964646
Jan-03,2,0,5,7,0.285714286,0.236643191
Feb-03,8,18,20,46,0.369565217,0.098634259
Mar-03,18,14,32,64,0.390625,0.084522711
Apr-03,6,7,1,14,0.678571429,0.172988439
May-03,0,1,1,2,0.25,0.424352448
Jun-03,0,3,0,3,0.5,0.400083325
Jul-03,4,9,4,17,0.5,0.168068613
Aug-03,17,14,6,37,0.648648649,0.108771667
Sep-03,4,2,2,8,0.625,0.23722023
Oct-03,14,9,3,26,0.711538462,0.123139546
Nov-03,9,12,14,35,0.428571429,0.115931014
Dec-03,4,9,25,38,0.223684211,0.093688471
Jan-04,36,10,2,48,0.854166667,0.070602514
Feb-04,36,7,1,44,0.897727273,0.063309206
Mar-04,3,2,3,8,0.5,0.245
Apr-04,5,0,0,5,1,0
May-04,30,10,3,43,0.813953488,0.082246496
Jun-04,24,8,6,38,0.736842105,0.099002166
Jul-04,10,2,1,13,0.846153846,0.138687521
Aug-04,0,0,0,0,NA,NA
Sep-04,1,0,0,1,1,0
Oct-04,4,0,0,4,1,0
Nov-04,0,0,0,0,NA,NA
Dec-04,0,0,0,0,NA,NA
Jan-05,4,0,0,4,1,0
Feb-05,1,0,0,1,1,0
Mar-05,1,0,0,1,1,0
Apr-05,125,11,4,140,0.932142857,0.02945887
May-05,9,0,0,9,1,0
Jun-05,20,0,0,20,1,0
Jul-05,12,0,0,12,1,0
Aug-05,2,0,0,2,1,0
Sep-05,29,2,0,31,0.967741935,0.043980399
Oct-05,19,0,0,19,1,0
Nov-05,15,1,0,16,0.96875,0.060285373
Dec-05,10,4,0,14,0.857142857,0.129614814
Jan-06,68,7,0,75,0.953333333,0.033754853
Feb-06,12,0,0,12,1,0
Mar-06,16,0,0,16,1,0
Apr-06,23,3,0,26,0.942307692,0.063373796
May-06,13,0,0,13,1,0
Jun-06,13,0,0,13,1,0
Jul-06,1,0,0,1,1,0
Aug-06,17,1,0,18,0.972222222,0.053682946
Sep-06,8,0,0,8,1,0
Oct-06,5,1,0,6,0.916666667,0.156379761
Nov-06,573,2,0,575,0.99826087,0.002408215
Dec-06,20,10,4,34,0.735294118,0.104860991
Jan-07,23,8,1,32,0.84375,0.088957586
Feb-07,4,0,0,4,1,0
Mar-07,7,1,0,8,0.9375,0.118610115
Apr-07,19,0,0,19,1,0
May-07,1,0,0,1,1,0
Jun-07,12,0,0,12,1,0
Jul-07,38,0,0,38,1,0
Aug-07,8,1,1,10,0.85,0.15649345
Sep-07,0,0,6,6,0,0
Oct-07,4,0,0,4,1,0
Nov-07,10,0,0,10,1,0
Dec-07,8,1,0,9,0.944444444,0.105820979
Jan-08,32,5,4,41,0.841463415,0.079055395
Feb-08,60,7,7,74,0.858108108,0.05621795
Mar-08,20,3,1,24,0.895833333,0.086419837
Apr-08,6,2,0,8,0.875,0.162052268
May-08,6,0,0,6,1,0
Jun-08,10,11,7,28,0.553571429,0.130204167
Jul-08,15,1,0,16,0.96875,0.060285373
Aug-08,29,1,3,33,0.893939394,0.074287406
Sep-08,9,0,1,10,0.9,0.131480797
Oct-08,20,0,0,20,1,0
Nov-08,9,0,0,9,1,0
Dec-08,59,0,0,59,1,0
Jan-09,20,1,3,24,0.854166667,0.099847033
Feb-09,13,4,0,17,0.882352941,0.108299966
